,STATE.UT,Year,id,CAUSE,Male.upto.14.years,Male.15.29.years,Male.30.44.years,Male.45.59.years,Male.60.years.and.above,Total.Male,Female.upto.14.years,Female.15.29.years,Female.30.44.years,Female.45.59.years,Female.60.years.and.above,Total.Female,Transgender.upto.14.years,Transgender.15.29.years,Transgender.30.44.years,Transgender.45.59.years,Transgender.60.years.and.above,Total.Transgender,Grand.Total
852,TOTAL (ALL INDIA),2008,37,DEATH OF DEAR PERSON,8,128,165,139,56,496,9,316,116,59,23,523,0,0,0,0,0,0,1019
1398,TOTAL (ALL INDIA),2008,37,DOWRY DISPUTE,2,31,19,4,1,57,10,2184,740,46,1,2981,0,0,0,0,0,0,3038
1944,TOTAL (ALL INDIA),2008,37,DRUG ABUSE,5,637,1135,654,173,2604,2,31,54,30,9,126,0,0,0,0,0,0,2730
2490,TOTAL (ALL INDIA),2008,37,ECONOMIC ISSUES,14,2227,3690,2410,587,8928,18,611,621,361,87,1698,0,0,0,0,0,0,10626
3036,TOTAL (ALL INDIA),2008,37,EXAM FAILURE,154,1011,53,10,3,1231,159,770,25,4,0,958,0,0,0,0,0,0,2189
3582,TOTAL (ALL INDIA),2008,37,FAMILY PROBLEMS,137,5215,7368,4434,1348,18502,193,4812,3995,1709,566,11275,0,0,0,0,0,0,29777
4128,TOTAL (ALL INDIA),2008,37,HEALTH ISSUES,57,2694,3956,3550,2027,12284,97,2166,2110,1341,861,6575,0,0,0,0,0,0,18859
4673,TOTAL (ALL INDIA),2008,37,HERO WORSHIP,0,60,106,51,15,232,0,77,56,23,4,160,0,0,0,0,0,0,392
5218,TOTAL (ALL INDIA),2008,37,ILLEGITIMATE PREGNANCY,0,10,10,0,0,20,5,147,62,4,0,218,0,0,0,0,0,0,238
5763,TOTAL (ALL INDIA),2008,37,LOVE AFFAIRS,17,1417,435,39,4,1912,75,1468,291,27,1,1862,0,0,0,0,0,0,3774
6309,TOTAL (ALL INDIA),2008,37,MARITAL ISSUES,8,580,683,187,16,1474,17,1009,729,125,12,1892,0,0,0,0,0,0,3366
6855,TOTAL (ALL INDIA),2008,37,MENTAL HEALTH,51,1483,2039,1403,573,5549,62,1034,1045,694,315,3150,0,0,0,0,0,0,8699
7401,TOTAL (ALL INDIA),2008,37,OTHERS,368,3982,4759,2808,753,12670,249,2474,2026,942,307,5998,0,0,0,0,0,0,18668
7985,TOTAL (ALL INDIA),2008,37,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",1,32,47,16,4,100,6,168,71,21,1,267,0,0,0,0,0,0,367
8492,TOTAL (ALL INDIA),2008,37,SOCIETAL ISSUES,2,261,295,171,61,790,5,173,119,51,13,361,0,0,0,0,0,0,1151
345,TOTAL (ALL INDIA),2009,37,CAUSES NOT KNOWN,480,4269,5230,3176,1179,14334,323,2890,2196,1096,474,6979,0,0,0,0,0,0,21313
891,TOTAL (ALL INDIA),2009,37,DEATH OF DEAR PERSON,6,119,177,94,64,460,14,155,106,47,21,343,0,0,0,0,0,0,803
1437,TOTAL (ALL INDIA),2009,37,DOWRY DISPUTE,1,29,33,11,0,74,10,2053,733,44,7,2847,0,0,0,0,0,0,2921
1983,TOTAL (ALL INDIA),2009,37,DRUG ABUSE,7,682,1244,751,160,2844,2,29,37,18,12,98,0,0,0,0,0,0,2942
2529,TOTAL (ALL INDIA),2009,37,ECONOMIC ISSUES,39,2428,3894,2578,590,9529,25,606,646,344,108,1729,0,0,0,0,0,0,11258
3075,TOTAL (ALL INDIA),2009,37,EXAM FAILURE,146,872,74,15,0,1107,145,719,33,6,0,903,0,0,0,0,0,0,2010
3621,TOTAL (ALL INDIA),2009,37,FAMILY PROBLEMS,164,5437,7259,4262,1319,18441,182,5194,3956,1773,536,11641,0,0,0,0,0,0,30082
4167,TOTAL (ALL INDIA),2009,37,HEALTH ISSUES,76,2272,3621,3667,2335,11971,90,1939,1914,1389,959,6291,0,0,0,0,0,0,18262
4712,TOTAL (ALL INDIA),2009,37,HERO WORSHIP,1,21,17,76,1,116,0,9,2,1,0,12,0,0,0,0,0,0,128
5257,TOTAL (ALL INDIA),2009,37,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,6,91,39,5,0,141,0,0,0,0,0,0,141
5802,TOTAL (ALL INDIA),2009,37,LOVE AFFAIRS,34,1415,431,43,4,1927,92,1360,320,11,1,1784,0,0,0,0,0,0,3711
6348,TOTAL (ALL INDIA),2009,37,MARITAL ISSUES,6,601,529,189,18,1343,21,1047,625,128,30,1851,0,0,0,0,0,0,3194
6894,TOTAL (ALL INDIA),2009,37,MENTAL HEALTH,65,1529,1837,1413,572,5416,43,969,1055,667,319,3053,0,0,0,0,0,0,8469
7440,TOTAL (ALL INDIA),2009,37,OTHERS,470,3844,4706,3135,987,13142,478,2792,2275,1380,407,7332,0,0,0,0,0,0,20474
8024,TOTAL (ALL INDIA),2009,37,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",3,48,23,13,8,95,8,137,55,19,6,225,0,0,0,0,0,0,320
8531,TOTAL (ALL INDIA),2009,37,SOCIETAL ISSUES,3,180,260,173,56,672,11,184,161,79,16,451,0,0,0,0,0,0,1123
384,TOTAL (ALL INDIA),2010,37,CAUSES NOT KNOWN,455,4806,5444,3398,1323,15426,372,2881,2281,1255,470,7259,0,0,0,0,0,0,22685
930,TOTAL (ALL INDIA),2010,37,DEATH OF DEAR PERSON,72,152,165,136,69,594,20,184,126,63,48,441,0,0,0,0,0,0,1035
1476,TOTAL (ALL INDIA),2010,37,DOWRY DISPUTE,1,33,37,7,2,80,4,2122,838,43,6,3013,0,0,0,0,0,0,3093
2022,TOTAL (ALL INDIA),2010,37,DRUG ABUSE,6,741,1398,861,232,3238,3,33,32,27,10,105,0,0,0,0,0,0,3343
2568,TOTAL (ALL INDIA),2010,37,ECONOMIC ISSUES,39,2471,3554,2322,623,9009,28,695,685,333,93,1834,0,0,0,0,0,0,10843
3114,TOTAL (ALL INDIA),2010,37,EXAM FAILURE,159,1115,62,11,3,1350,158,942,28,1,0,1129,0,0,0,0,0,0,2479
3660,TOTAL (ALL INDIA),2010,37,FAMILY PROBLEMS,193,5755,7617,4756,1507,19828,190,5559,3831,1818,630,12028,0,0,0,0,0,0,31856
4206,TOTAL (ALL INDIA),2010,37,HEALTH ISSUES,88,2557,3704,3776,2282,12407,165,2018,1911,1499,999,6592,0,0,0,0,0,0,18999
4751,TOTAL (ALL INDIA),2010,37,HERO WORSHIP,0,27,17,7,3,54,1,27,14,4,2,48,0,0,0,0,0,0,102
5296,TOTAL (ALL INDIA),2010,37,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,7,105,40,1,0,153,0,0,0,0,0,0,153
5841,TOTAL (ALL INDIA),2010,37,LOVE AFFAIRS,37,1599,524,55,1,2216,98,1499,332,20,1,1950,0,0,0,0,0,0,4166
6387,TOTAL (ALL INDIA),2010,37,MARITAL ISSUES,6,657,547,148,26,1384,21,1108,671,125,10,1935,0,0,0,0,0,0,3319
6933,TOTAL (ALL INDIA),2010,37,MENTAL HEALTH,83,1651,2111,1607,673,6125,86,1162,1077,669,346,3340,0,0,0,0,0,0,9465
7479,TOTAL (ALL INDIA),2010,37,OTHERS,489,4492,4953,3473,1142,14549,317,2543,2304,1188,537,6889,0,0,0,0,0,0,21438
8063,TOTAL (ALL INDIA),2010,37,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",2,37,25,12,1,77,13,127,62,20,2,224,0,0,0,0,0,0,301
8570,TOTAL (ALL INDIA),2010,37,SOCIETAL ISSUES,10,294,286,199,54,843,7,233,170,55,14,479,0,0,0,0,0,0,1322
423,TOTAL (ALL INDIA),2011,37,CAUSES NOT KNOWN,439,4756,5809,3288,1416,15708,359,2796,2298,1331,532,7316,0,0,0,0,0,0,23024
969,TOTAL (ALL INDIA),2011,37,DEATH OF DEAR PERSON,7,133,152,124,46,462,16,182,142,62,32,434,0,0,0,0,0,0,896
1515,TOTAL (ALL INDIA),2011,37,DOWRY DISPUTE,0,48,72,18,1,139,2,2037,965,96,0,3100,0,0,0,0,0,0,3239
2061,TOTAL (ALL INDIA),2011,37,DRUG ABUSE,8,920,1503,877,220,3528,1,43,40,36,10,130,0,0,0,0,0,0,3658
2607,TOTAL (ALL INDIA),2011,37,ECONOMIC ISSUES,17,2265,3470,2290,506,8548,30,609,687,373,101,1800,0,0,0,0,0,0,10348
3153,TOTAL (ALL INDIA),2011,37,EXAM FAILURE,161,1112,54,9,1,1337,122,888,29,5,0,1044,0,0,0,0,0,0,2381
3699,TOTAL (ALL INDIA),2011,37,FAMILY PROBLEMS,145,5987,7940,4850,1423,20345,199,5781,4222,1809,553,12564,0,0,0,0,0,0,32909
4245,TOTAL (ALL INDIA),2011,37,HEALTH ISSUES,84,2258,3547,3466,2121,11476,86,2035,1848,1350,973,6292,0,0,0,0,0,0,17768
4790,TOTAL (ALL INDIA),2011,37,HERO WORSHIP,2,5,12,4,2,25,4,6,6,0,0,16,0,0,0,0,0,0,41
5335,TOTAL (ALL INDIA),2011,37,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,10,129,39,6,0,184,0,0,0,0,0,0,184
5880,TOTAL (ALL INDIA),2011,37,LOVE AFFAIRS,136,1745,554,47,1,2483,79,1629,335,59,1,2103,0,0,0,0,0,0,4586
6426,TOTAL (ALL INDIA),2011,37,MARITAL ISSUES,9,831,681,243,29,1793,17,1047,675,122,15,1876,0,0,0,0,0,0,3669
6972,TOTAL (ALL INDIA),2011,37,MENTAL HEALTH,34,1424,1944,1509,670,5581,58,1054,1091,709,309,3221,0,0,0,0,0,0,8802
7518,TOTAL (ALL INDIA),2011,37,OTHERS,530,4942,5305,3573,1288,15638,470,2855,2192,994,485,6996,0,0,0,0,0,0,22634
8102,TOTAL (ALL INDIA),2011,37,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",1,45,31,7,1,85,5,114,74,5,3,201,0,0,0,0,0,0,286
8609,TOTAL (ALL INDIA),2011,37,SOCIETAL ISSUES,1,133,326,202,29,691,3,205,172,72,17,469,0,0,0,0,0,0,1160
462,TOTAL (ALL INDIA),2012,37,CAUSES NOT KNOWN,305,3843,4814,2801,1006,12769,255,2284,1565,917,386,5407,0,0,0,0,0,0,18176
1008,TOTAL (ALL INDIA),2012,37,DEATH OF DEAR PERSON,3,97,145,99,83,427,10,144,123,75,40,392,0,0,0,0,0,0,819
1554,TOTAL (ALL INDIA),2012,37,DOWRY DISPUTE,1,21,15,4,0,41,2,1378,452,62,0,1894,0,0,0,0,0,0,1935
2100,TOTAL (ALL INDIA),2012,37,DRUG ABUSE,5,983,1618,1021,256,3883,3,35,47,33,7,125,0,0,0,0,0,0,4008
2646,TOTAL (ALL INDIA),2012,37,ECONOMIC ISSUES,15,1929,2888,1825,463,7120,13,474,523,306,90,1406,0,0,0,0,0,0,8526
3192,TOTAL (ALL INDIA),2012,37,EXAM FAILURE,122,990,44,6,0,1162,104,925,55,0,0,1084,0,0,0,0,0,0,2246
3738,TOTAL (ALL INDIA),2012,37,FAMILY PROBLEMS,141,5462,7541,4899,1494,19537,213,5122,3703,1674,543,11255,0,0,0,0,0,0,30792
4284,TOTAL (ALL INDIA),2012,37,HEALTH ISSUES,64,2135,3469,3403,2197,11268,82,1940,1859,1320,878,6079,0,0,0,0,0,0,17347
4829,TOTAL (ALL INDIA),2012,37,HERO WORSHIP,5,50,26,17,3,101,1,39,23,8,4,75,0,0,0,0,0,0,176
5374,TOTAL (ALL INDIA),2012,37,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,1,70,18,4,0,93,0,0,0,0,0,0,93
5919,TOTAL (ALL INDIA),2012,37,LOVE AFFAIRS,26,1506,441,49,1,2023,82,1389,314,40,1,1826,0,0,0,0,0,0,3849
6465,TOTAL (ALL INDIA),2012,37,MARITAL ISSUES,1,529,494,168,27,1219,14,811,538,109,11,1483,0,0,0,0,0,0,2702
7011,TOTAL (ALL INDIA),2012,37,MENTAL HEALTH,29,1416,1732,1276,703,5156,38,943,772,541,319,2613,0,0,0,0,0,0,7769
7557,TOTAL (ALL INDIA),2012,37,OTHERS,397,4222,4989,3411,1281,14300,362,2599,1984,1047,496,6488,0,0,0,0,0,0,20788
8141,TOTAL (ALL INDIA),2012,37,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",2,17,27,18,23,87,9,106,56,20,3,194,0,0,0,0,0,0,281
8648,TOTAL (ALL INDIA),2012,37,SOCIETAL ISSUES,4,198,243,200,35,680,5,136,97,51,12,301,0,0,0,0,0,0,981
501,TOTAL (ALL INDIA),2013,37,CAUSES NOT KNOWN,406,4753,5179,3274,1092,14704,317,2709,1920,955,360,6261,0,0,0,0,0,0,20965
1047,TOTAL (ALL INDIA),2013,37,DEATH OF DEAR PERSON,5,177,182,124,84,572,4,171,130,79,40,424,0,0,0,0,0,0,996
1593,TOTAL (ALL INDIA),2013,37,DOWRY DISPUTE,0,26,15,22,2,65,10,1630,506,53,3,2202,0,0,0,0,0,0,2267
2139,TOTAL (ALL INDIA),2013,37,DRUG ABUSE,10,1058,1842,1257,312,4479,1,28,43,30,10,112,0,0,0,0,0,0,4591
2685,TOTAL (ALL INDIA),2013,37,ECONOMIC ISSUES,15,2085,3146,2014,375,7635,7,469,514,321,115,1426,0,0,0,0,0,0,9061
3231,TOTAL (ALL INDIA),2013,37,EXAM FAILURE,159,1122,99,9,3,1392,100,926,52,1,0,1079,0,0,0,0,0,0,2471
3777,TOTAL (ALL INDIA),2013,37,FAMILY PROBLEMS,139,5805,8171,5201,1780,21096,172,4917,3841,1676,623,11229,0,0,0,0,0,0,32325
4323,TOTAL (ALL INDIA),2013,37,HEALTH ISSUES,71,2211,3813,3742,2485,12322,128,1936,1734,1283,1017,6098,0,0,0,0,0,0,18420
4868,TOTAL (ALL INDIA),2013,37,HERO WORSHIP,5,72,38,17,7,139,2,54,19,5,2,82,0,0,0,0,0,0,221
5413,TOTAL (ALL INDIA),2013,37,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,7,115,30,1,0,153,0,0,0,0,0,0,153
5958,TOTAL (ALL INDIA),2013,37,LOVE AFFAIRS,43,1766,665,91,0,2565,77,1464,343,45,1,1930,0,0,0,0,0,0,4495
6504,TOTAL (ALL INDIA),2013,37,MARITAL ISSUES,2,740,622,221,39,1624,13,905,563,136,13,1630,0,0,0,0,0,0,3254
7050,TOTAL (ALL INDIA),2013,37,MENTAL HEALTH,52,1454,1787,1349,566,5208,49,916,915,609,309,2798,0,0,0,0,0,0,8006
7596,TOTAL (ALL INDIA),2013,37,OTHERS,636,5151,6115,4212,1543,17657,444,3128,2657,1378,574,8181,0,0,0,0,0,0,25838
8180,TOTAL (ALL INDIA),2013,37,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,18,23,30,3,74,7,103,69,16,1,196,0,0,0,0,0,0,270
8687,TOTAL (ALL INDIA),2013,37,SOCIETAL ISSUES,3,278,402,262,66,1011,7,181,171,72,24,455,0,0,0,0,0,0,1466
540,TOTAL (ALL INDIA),2014,37,CAUSES NOT KNOWN,179,4405,3787,2145,792,11308,138,2659,1308,624,226,4955,0,1,0,0,0,1,16264
1086,TOTAL (ALL INDIA),2014,37,DEATH OF DEAR PERSON,1,182,218,174,83,658,3,152,75,47,46,323,0,0,0,0,0,0,981
1632,TOTAL (ALL INDIA),2014,37,DOWRY DISPUTE,1,19,12,5,2,39,0,1739,427,44,12,2222,0,0,0,0,0,0,2261
2178,TOTAL (ALL INDIA),2014,37,DRUG ABUSE,5,1018,1419,893,220,3555,6,29,35,15,6,91,0,1,0,0,0,1,3647
2724,TOTAL (ALL INDIA),2014,37,ECONOMIC ISSUES,2,2192,2881,1659,414,7148,8,414,422,155,37,1036,0,0,0,0,0,0,8184
3270,TOTAL (ALL INDIA),2014,37,EXAM FAILURE,91,1237,28,2,0,1358,72,946,25,2,0,1045,0,0,0,0,0,0,2403
3816,TOTAL (ALL INDIA),2014,37,FAMILY PROBLEMS,129,6166,7041,3990,1297,18623,116,4937,3238,1228,458,9977,0,2,0,0,0,2,28602
4362,TOTAL (ALL INDIA),2014,37,HEALTH ISSUES,136,6799,8506,7174,4780,27395,147,4687,3460,2551,2140,12985,0,5,3,0,0,8,40388
4907,TOTAL (ALL INDIA),2014,37,HERO WORSHIP,1,23,10,7,2,43,2,8,3,0,0,13,0,0,0,0,0,0,56
5452,TOTAL (ALL INDIA),2014,37,ILLEGITIMATE PREGNANCY,0,0,0,0,0,0,1,44,11,0,0,56,0,0,0,0,0,0,56
5997,TOTAL (ALL INDIA),2014,37,LOVE AFFAIRS,12,1927,429,63,10,2441,30,1496,193,8,0,1727,0,0,0,0,0,0,4168
6543,TOTAL (ALL INDIA),2014,37,MARITAL ISSUES,12,1836,1292,393,76,3609,17,3993,1587,219,43,5859,0,0,0,0,0,0,9468
7089,TOTAL (ALL INDIA),2014,37,MENTAL HEALTH,56,1569,1548,1120,468,4761,23,903,706,441,268,2341,0,1,1,0,0,2,7104
7635,TOTAL (ALL INDIA),2014,37,OTHERS,378,9925,9203,5146,1612,26264,342,5856,3365,1558,647,11768,0,6,0,1,0,7,38039
7674,TOTAL (ALL INDIA),2014,37,PHYSICAL ABUSE,0,3,0,3,0,6,4,49,12,2,1,68,0,0,0,0,0,0,74
8726,TOTAL (ALL INDIA),2014,37,SOCIETAL ISSUES,2,92,136,98,33,361,7,70,34,12,6,129,0,0,0,0,0,0,490
34,TOTAL (STATES),2001,,CAUSES NOT KNOWN,479,3783,4669,2705,1065,12701,433,3041,2273,1131,477,7355,0,0,0,0,0,0,20056
580,TOTAL (STATES),2001,,DEATH OF DEAR PERSON,6,104,144,106,74,434,13,174,132,69,33,421,0,0,0,0,0,0,855
1126,TOTAL (STATES),2001,,DOWRY DISPUTE,0,25,16,2,0,43,1,1758,554,23,0,2336,0,0,0,0,0,0,2379
1672,TOTAL (STATES),2001,,DRUG ABUSE,13,337,578,329,63,1320,6,32,18,16,4,76,0,0,0,0,0,0,1396
2218,TOTAL (STATES),2001,,ECONOMIC ISSUES,38,2218,3412,2119,566,8353,25,675,790,482,154,2126,0,0,0,0,0,0,10479
2764,TOTAL (STATES),2001,,EXAM FAILURE,221,873,59,8,0,1161,161,670,34,3,0,868,0,0,0,0,0,0,2029
3310,TOTAL (STATES),2001,,FAMILY PROBLEMS,165,4311,5175,2997,915,13563,179,4471,3529,1372,451,10002,0,0,0,0,0,0,23565
3856,TOTAL (STATES),2001,,HEALTH ISSUES,110,2566,3632,3498,1759,11565,129,2084,1925,1452,775,6365,0,0,0,0,0,0,17930
4402,TOTAL (STATES),2001,,HERO WORSHIP,1,18,15,19,1,54,0,33,9,6,0,48,0,0,0,0,0,0,102
4947,TOTAL (STATES),2001,,ILLEGITIMATE PREGNANCY,0,21,9,0,0,30,5,240,83,7,0,335,0,0,0,0,0,0,365
5492,TOTAL (STATES),2001,,LOVE AFFAIRS,26,1109,399,43,1,1578,69,1122,273,27,0,1491,0,0,0,0,0,0,3069
6037,TOTAL (STATES),2001,,MARITAL ISSUES,7,553,472,141,32,1205,22,1146,658,136,5,1967,0,0,0,0,0,0,3172
6583,TOTAL (STATES),2001,,MENTAL HEALTH,41,941,1324,917,433,3656,43,672,699,463,277,2154,0,0,0,0,0,0,5810
7129,TOTAL (STATES),2001,,OTHERS,360,2394,2885,2078,842,8559,368,1993,1514,862,403,5140,0,0,0,0,0,0,13699
7714,TOTAL (STATES),2001,,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",1,43,34,23,8,109,10,169,69,11,4,263,0,0,0,0,0,0,372
8220,TOTAL (STATES),2001,,SOCIETAL ISSUES,11,229,251,194,82,767,8,185,153,50,34,430,0,0,0,0,0,0,1197
73,TOTAL (STATES),2002,,CAUSES NOT KNOWN,383,4025,4451,2849,1158,12866,356,2537,2020,1081,467,6461,0,0,0,0,0,0,19327
619,TOTAL (STATES),2002,,DEATH OF DEAR PERSON,5,105,136,89,48,383,6,124,88,57,28,303,0,0,0,0,0,0,686
1165,TOTAL (STATES),2002,,DOWRY DISPUTE,0,16,10,4,0,30,116,1678,493,38,3,2328,0,0,0,0,0,0,2358
1711,TOTAL (STATES),2002,,DRUG ABUSE,5,385,713,398,74,1575,8,40,29,21,11,109,0,0,0,0,0,0,1684
2257,TOTAL (STATES),2002,,ECONOMIC ISSUES,32,2083,3134,2011,500,7760,23,620,638,324,101,1706,0,0,0,0,0,0,9466
2803,TOTAL (STATES),2002,,EXAM FAILURE,174,1001,68,3,0,1246,169,737,50,2,0,958,0,0,0,0,0,0,2204
3349,TOTAL (STATES),2002,,FAMILY PROBLEMS,183,4378,5499,3177,1091,14328,243,4653,3351,1407,456,10110,0,0,0,0,0,0,24438
3895,TOTAL (STATES),2002,,HEALTH ISSUES,84,2599,4196,3682,2100,12661,153,2134,2028,1462,801,6578,0,0,0,0,0,0,19239
4441,TOTAL (STATES),2002,,HERO WORSHIP,0,19,10,13,9,51,0,14,11,7,4,36,0,0,0,0,0,0,87
4986,TOTAL (STATES),2002,,ILLEGITIMATE PREGNANCY,0,7,0,1,0,8,9,163,77,5,0,254,0,0,0,0,0,0,262
5531,TOTAL (STATES),2002,,LOVE AFFAIRS,5,1105,442,35,2,1589,58,1049,321,21,0,1449,0,0,0,0,0,0,3038
6076,TOTAL (STATES),2002,,MARITAL ISSUES,3,588,462,187,16,1256,5,1208,758,164,11,2146,0,0,0,0,0,0,3402
6622,TOTAL (STATES),2002,,MENTAL HEALTH,38,1127,1500,969,459,4093,44,703,787,479,237,2250,0,0,0,0,0,0,6343
7168,TOTAL (STATES),2002,,OTHERS,350,2792,3447,2126,768,9483,341,2082,1683,723,370,5199,0,0,0,0,0,0,14682
7753,TOTAL (STATES),2002,,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,76,63,30,6,175,18,135,72,19,6,250,0,0,0,0,0,0,425
8259,TOTAL (STATES),2002,,SOCIETAL ISSUES,20,149,232,145,38,584,3,116,103,37,15,274,0,0,0,0,0,0,858
112,TOTAL (STATES),2003,,CAUSES NOT KNOWN,355,3770,3932,2420,1017,11494,319,2285,1704,1010,410,5728,0,0,0,0,0,0,17222
658,TOTAL (STATES),2003,,DEATH OF DEAR PERSON,6,181,175,153,55,570,11,193,134,59,27,424,0,0,0,0,0,0,994
1204,TOTAL (STATES),2003,,DOWRY DISPUTE,4,14,47,33,1,99,10,1700,550,40,2,2302,0,0,0,0,0,0,2401
1750,TOTAL (STATES),2003,,DRUG ABUSE,4,358,716,446,121,1645,2,45,29,15,5,96,0,0,0,0,0,0,1741
2296,TOTAL (STATES),2003,,ECONOMIC ISSUES,31,2284,3526,2135,547,8523,29,661,730,399,134,1953,0,0,0,0,0,0,10476
2842,TOTAL (STATES),2003,,EXAM FAILURE,147,921,90,0,0,1158,158,846,43,1,0,1048,0,0,0,0,0,0,2206
3388,TOTAL (STATES),2003,,FAMILY PROBLEMS,178,4726,5715,3588,1151,15358,190,4478,3376,1668,592,10304,0,0,0,0,0,0,25662
3934,TOTAL (STATES),2003,,HEALTH ISSUES,110,2456,3500,3149,1866,11081,133,1934,1998,1329,804,6198,0,0,0,0,0,0,17279
4480,TOTAL (STATES),2003,,HERO WORSHIP,0,58,71,40,8,177,2,41,12,9,1,65,0,0,0,0,0,0,242
5025,TOTAL (STATES),2003,,ILLEGITIMATE PREGNANCY,0,0,2,0,1,3,1,171,62,11,0,245,0,0,0,0,0,0,248
5570,TOTAL (STATES),2003,,LOVE AFFAIRS,28,1438,575,61,1,2103,58,1329,421,34,0,1842,0,0,0,0,0,0,3945
6115,TOTAL (STATES),2003,,MARITAL ISSUES,8,522,550,193,16,1289,12,1025,725,166,5,1933,0,0,0,0,0,0,3222
6661,TOTAL (STATES),2003,,MENTAL HEALTH,42,1235,1718,1127,539,4661,58,787,863,594,277,2579,0,0,0,0,0,0,7240
7207,TOTAL (STATES),2003,,OTHERS,326,3013,3236,2374,992,9941,260,1930,1350,729,340,4609,0,0,0,0,0,0,14550
7792,TOTAL (STATES),2003,,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",6,64,92,41,23,226,14,147,74,28,10,273,0,0,0,0,0,0,499
8298,TOTAL (STATES),2003,,SOCIETAL ISSUES,7,147,244,139,40,577,17,138,98,56,9,318,0,0,0,0,0,0,895
151,TOTAL (STATES),2004,,CAUSES NOT KNOWN,336,3731,4393,2909,1156,12525,312,2432,1832,893,384,5853,0,0,0,0,0,0,18378
697,TOTAL (STATES),2004,,DEATH OF DEAR PERSON,7,125,134,103,64,433,10,109,93,56,31,299,0,0,0,0,0,0,732
1243,TOTAL (STATES),2004,,DOWRY DISPUTE,0,27,17,7,2,53,10,1962,527,32,0,2531,0,0,0,0,0,0,2584
1789,TOTAL (STATES),2004,,DRUG ABUSE,7,441,821,454,95,1818,0,36,32,11,1,80,0,0,0,0,0,0,1898
2335,TOTAL (STATES),2004,,ECONOMIC ISSUES,34,2468,3793,2511,594,9400,23,670,864,530,134,2221,0,0,0,0,0,0,11621
2881,TOTAL (STATES),2004,,EXAM FAILURE,219,1028,136,17,2,1402,226,752,51,3,0,1032,0,0,0,0,0,0,2434
3427,TOTAL (STATES),2004,,FAMILY PROBLEMS,191,4340,5804,3605,1043,14983,192,4555,3319,1455,471,9992,0,0,0,0,0,0,24975
3973,TOTAL (STATES),2004,,HEALTH ISSUES,93,2545,3800,3256,2036,11730,127,2012,1904,1416,836,6295,0,0,0,0,0,0,18025
4519,TOTAL (STATES),2004,,HERO WORSHIP,1,12,22,7,6,48,2,19,8,0,1,30,0,0,0,0,0,0,78
5064,TOTAL (STATES),2004,,ILLEGITIMATE PREGNANCY,0,5,4,2,0,11,6,121,61,5,0,193,0,0,0,0,0,0,204
5609,TOTAL (STATES),2004,,LOVE AFFAIRS,22,1380,540,54,2,1998,57,1226,443,31,0,1757,0,0,0,0,0,0,3755
6154,TOTAL (STATES),2004,,MARITAL ISSUES,5,561,468,145,12,1191,8,1054,629,108,3,1802,0,0,0,0,0,0,2993
6700,TOTAL (STATES),2004,,MENTAL HEALTH,66,1231,1568,1190,547,4602,55,791,817,535,230,2428,0,0,0,0,0,0,7030
7246,TOTAL (STATES),2004,,OTHERS,462,3020,3667,2442,979,10570,390,2136,1527,900,428,5381,0,0,0,0,0,0,15951
7831,TOTAL (STATES),2004,,"PHYSICAL ABUSE (RAPE,INCEST ETC.)",0,41,39,11,10,101,1,111,70,17,4,203,0,0,0,0,0,0,304
8337,TOTAL (STATES),2004,,SOCIETAL ISSUES,4,173,171,104,39,491,5,91,67,32,5,200,0,0,0,0,0,0,691
190,TOTAL (STATES),2005,,CAUSES NOT KNOWN,273,3740,3973,2578,903,11467,216,2399,1652,950,280,5497,0,0,0,0,0,0,16964
736,TOTAL (STATES),2005,,DEATH OF DEAR PERSON,4,102,180,118,59,463,7,92,151,68,19,337,0,0,0,0,0,0,800
1282,TOTAL (STATES),2005,,DOWRY DISPUTE,2,13,24,3,0,42,0,1683,530,38,3,2254,0,0,0,0,0,0,2296
1828,TOTAL (STATES),2005,,DRUG ABUSE,7,451,884,479,104,1925,2,30,27,10,11,80,0,0,0,0,0,0,2005
2374,TOTAL (STATES),2005,,ECONOMIC ISSUES,21,1980,3340,2379,536,8256,26,539,696,384,101,1746,0,0,0,0,0,0,10002
2920,TOTAL (STATES),2005,,EXAM FAILURE,182,987,77,14,0,1260,263,670,43,6,2,984,0,0,0,0,0,0,2244
3466,TOTAL (STATES),2005,,FAMILY PROBLEMS,160,4310,5718,3672,1067,14927,162,4498,3088,1563,544,9855,0,0,0,0,0,0,24782
4012,TOTAL (STATES),2005,,HEALTH ISSUES,90,2302,3457,3149,2118,11116,121,1951,1728,1344,944,6088,0,0,0,0,0,0,17204
